person,user_name,user_screen_name,created_at,full_text,full_text_norm,entities_user_mentions,entities_hashtags,favorite_count,retweet_count,reply_count
Jokowi,Joko Widodo,jokowi,2019-05-02T04:03:00Z,"Pendidikan adalah jalan panjang yang ditempuh sebuah bangsa yang menghadapi tantangan untuk membangun identitas, karakter, dan martabatnya.",pendidikan jalan ditempuh bangsa menghadapi tantangan membangun identitas karakter martabatnya,NA,NA,13253,3387,446
Jokowi,Joko Widodo,jokowi,2019-05-02T02:05:00Z,"Penghargaan yang tinggi kepada Yang Mulia Kaisar Akihito, yang selama masa kekaisarannya telah memberikan kontribusi besar bagi kawasan. Selamat yang tulus kepada Kaisar Naruhito. Indonesia berharap harmoni dan kemitraan dengan Jepang semakin kuat dan selaras.",penghargaan mulia kaisar akihito kekaisarannya kontribusi kawasan selamat tulus kaisar naruhito indonesia berharap harmoni kemitraan jepang kuat selaras,NA,NA,12304,2114,281
Jokowi,Joko Widodo,jokowi,2019-05-01T04:52:00Z,"Saya, juga seluruh rakyat, ikut bergembira bersama para pekerja dan buruh. Dengan kerja keras, terampil dan produktif, kita harus memastikan bahwa hidup kita hari ini lebih baik dari hari kemarin. Dan, hari esok lebih baik dari hari ini.",rakyat bergembira pekerja buruh kerja keras terampil produktif hidup kemarin esok,NA,NA,28402,6275,1755
Jokowi,Joko Widodo,jokowi,2019-04-30T09:55:00Z,"Santap siang bersama para pekerja pabrik sepatu PT KMK Global Sports di Cikupa, Tangerang, hari ini sungguh nikmat. Menunya nasi putih, sayur sup, tempe goreng, dan telur rebus. Besok, 1 Mei 2019, mereka merayakan Hari Buruh. Semoga berjalan dengan baik dan penuh kegembiraan.",santap siang pekerja pabrik sepatu pt kmk global sports cikupa tangerang sungguh nikmat menunya nasi putih sayur tempe goreng telur rebus besok mei twothousandnineteen merayakan buruh semoga berjalan penuh kegembiraan,NA,NA,15234,2405,884
Jokowi,Joko Widodo,jokowi,2019-04-30T02:08:00Z,"DKI Jakarta kini memikul dua beban sekaligus: sebagai pusat pemerintahan dan layanan publik, juga pusat bisnis. Banyak negara memindahkan ibu kotanya, sementara kita hanya menjadikannya gagasan di setiap era Presiden. Menurut Anda, di mana sebaiknya ibu kota negara Indonesia?",dki jakarta memikul beban pusat pemerintah layanan publik pusat bisnis negara memindahkan kotanya menjadikannya gagasan era presiden kota negara indonesia,NA,NA,27780,7490,14096
Jokowi,Joko Widodo,jokowi,2019-04-29T01:16:00Z,"Kita masih di pertengahan 2019, tapi RAPBN untuk tahun 2020 sudah mulai dibahas. Mengapa? Dinamika perekonomian dunia yang terus berubah harus dapat diantisipasi sesegera mungkin. APBN 2020 harus menjadi stimulus pertumbuhan ekonomi yang berkualitas, merata, dan berkeadilan.",pertengahan twothousandnineteen rapbn twothousandtwenty dibahas dinamika perekonomian dunia berubah diantisipasi apbn twothousandtwenty stimulus pertumbuhan ekonomi berkualitas merata berkeadilan,NA,NA,10885,1873,712
Jokowi,Joko Widodo,jokowi,2019-04-28T06:55:00Z,"Saya punya jaket warna terakota bermerek lokal. Di lemari pakaian saya juga masih ada jaket bomber, jaket merah hitam untuk Asian Games 2018, jaket denim untuk bersepeda motor, dll. Kita tidak berkekurangan produk karya anak bangsa yang berkualitas, trendi, dan dikemas baik.",jaket warna terakota bermerek lokal lemari pakaian jaket bomber jaket merah hitam asian games twothousandeighteen jaket denim bersepeda motor berkekurangan produk karya anak bangsa berkualitas trendi dikemas,NA,NA,20307,3404,1164
Jokowi,Joko Widodo,jokowi,2019-04-27T01:18:00Z,"Merah, hitam, biru, atau putih, hampir semuanya dibuat di dalam negeri, sneakers atau pantofel, dan nyaman di kaki. Itulah sepatu-sepatu yang selama ini saya pakai acara resmi atau blusukan memantau pembangunan di berbagai pelosok negeri.",merah hitam biru putih negeri sneakers pantofel nyaman kaki sepatu sepatu pakai acara resmi blusukan memantau pembangunan pelosok negeri,NA,NA,16300,2702,792
Jokowi,Joko Widodo,jokowi,2019-04-26T11:51:00Z,"Bertemu para pimpinan serikat pekerja di Istana Bogor hari ini, sepekan menjelang pelaksanaan Hari Buruh 1 Mei 2019. Kami sepakat, peringatan Hari Buruh akan digelar dengan cara kondusif dan damai. Kita harapkan rakyat ikut merasakan kegembiraan dalam perayaan Hari Buruh ini.",bertemu pimpinan serikat pekerja istana bogor sepekan menjelang pelaksanaan buruh mei twothousandnineteen sepakat peringatan buruh digelar kondusif damai harapkan rakyat merasakan kegembiraan perayaan buruh,NA,NA,10606,1474,480
Jokowi,Joko Widodo,jokowi,2019-04-26T01:40:00Z,"Landas pacunya bersisian dengan pantai, pada terminalnya sudah terjulur belalai-belalai garbarata, konveyor bagasi juga sudah terpasang. Inilah Bandara Internasional Yogyakarta di Kulon Progo yang tak lama lagi dibuka untuk penerbangan internasional dan beberapa jalur domestik.",landas pacunya bersisian pantai terminalnya terjulur belalai belalai garbarata konveyor bagasi terpasang bandara internasional yogyakarta kulon progo dibuka penerbangan internasional jalur domestik,NA,NA,27648,7968,1831
Jokowi,Joko Widodo,jokowi,2019-04-25T01:15:00Z,Selamat bekerja Pak Murad Ismail dan Barnabas Orno sebagai Gubernur dan Wakil Gubernur Maluku periode 2019-2024.,selamat murad ismail barnabas orno gubernur wakil gubernur maluku periode,NA,NA,15666,2182,440
Jokowi,Joko Widodo,jokowi,2019-04-24T11:52:00Z,"Pameran industri kerajinan tangan INACRAFT 2019 di Jakarta diikuti 1.700 peserta. Industri kecil dan menengah kerajinan kita sudah 700.000 unit dengan hampir 1,3 juta tenaga kerja. Mengingat ekspornya baru 1,26 % dari total pangsa pasar dunia, peluang ekspor masih sangat besar.",pameran industri kerajinan tangan inacraft twothousandnineteen jakarta diikuti peserta industri menengah kerajinan unit juta tenaga kerja ekspornya twenty- total pangsa pasar dunia peluang ekspor,NA,NA,11020,1577,292
Jokowi,Joko Widodo,jokowi,2019-04-24T05:02:00Z,"Sekitar dua pekan lagi kita memasuki bulan Ramadan. Sudah siapkah kita menyongsong bulan suci ini? Saya ingin memastikan ketersediaan pasokan bahan-bahan pokok di pasar-pasar dengan harga yang terkendali, sehingga umat Islam bisa menjalankan ibadah puasa dengan tenang.",pekan masuk ramadan siapkah menyongsong suci ketersediaan pasokan bahan bahan pokok pasar pasar harga terkendali umat islam menjalankan ibadah puasa tenang,NA,NA,15599,2374,928
Jokowi,Joko Widodo,jokowi,2019-04-24T01:22:00Z,"Tidak mungkin Indonesia menjadi bangsa yang maju, bila infrastruktur tidak memadai. Mari, kenakan helm, singsingkan lengan baju, bekerja, bangun infrastruktur -- yang akan membawa kita menang dalam berkompetisi dengan negara-negara lain.",indonesia bangsa maju infrastruktur memadai mari kenakan helm singsingkan lengan baju bangun infrastruktur bawa menang berkompetisi negara negara,NA,NA,26871,5079,1850
Jokowi,Joko Widodo,jokowi,2019-04-23T06:44:00Z,"Selama periode 2015-2019 pemerintah menargetkan 65 bendungan, 16 pembangunan lanjutan dan 49 bendungan baru. Jika seluruhnya sudah rampung, kita sudah bisa mengairi 20 persen lahan pertanian. Masih jauh dari memadai, tapi kita sudah memulai.",periode pemerintah menargetkan sixty- bendungan sixteen pembangunan lanjutan forty- bendungan rampung mengairi twenty persen lahan pertanian memadai,NA,NA,20725,4774,1337
Jokowi,Joko Widodo,jokowi,2019-04-23T01:19:00Z,"Duka cita dan belasungkawa yang mendalam atas meninggalnya sejumlah petugas KPPS dan aparat Kepolisian RI selama penyelenggaraan Pemilu 2019 ini. Mereka adalah pejuang demokrasi. Semoga Allah SWT menerima amal kebaikan mereka, dan kerja mereka menjadi keberkahan bagi Indonesia.",duka cita belasungkawa mendalam meninggalnya petugas kpps aparat kepolisian indonesia penyelenggaraan pemilu twothousandnineteen pejuang demokrasi semoga allah menerima amal kebaikan kerja keberkahan indonesia,NA,NA,24617,6320,1415
Jokowi,Joko Widodo,jokowi,2019-04-22T05:42:00Z,"Untuk anak-anakku siswa SD yang hari ini menjalani Ujian Sekolah Berstandar Nasional dan siswa SMP yang mengikuti Ujian Nasional, saya sampaikan selamat. Ujian ini akan menempa kalian menjadi tangguh, kuat, siap untuk bersaing di masa depan. Pesan saya satu: utamakan kejujuran.",anak anakku siswa sd menjalani ujian sekolah berstandar nasional siswa smp mengikuti ujian nasional selamat ujian menempa tangguh kuat bersaing pesan utamakan kejujuran,NA,NA,19672,3709,1159
Jokowi,Joko Widodo,jokowi,2019-04-22T03:14:00Z,"Kereta LRT Sumatra Selatan di Palembang telah beroperasi beberapa bulan. Jalur LRT pertama di Indonesia ini terentang 23 km melewati 13 stasiun. Di salah satu jalur, LRT ini bersisian dengan Jembatan Ampera di atas Sungai Musi. Indah, nyaman, dan tepat waktu.",kereta lrt sumatra selatan palembang beroperasi jalur lrt indonesia terentang twenty- melewati thirteen stasiun salah jalur lrt bersisian jembatan ampera sungai musi indah nyaman,NA,NA,20102,4273,1055
Jokowi,Joko Widodo,jokowi,2019-04-21T14:33:00Z,"Indonesia mengecam keras serangan bom di beberapa tempat di Sri Lanka, hari ini. Atas nama seluruh rakyat Indonesia, saya juga menyampaikan duka cita yang mendalam kepada Pemerintah Sri Lanka dan seluruh keluarga korban. Semoga korban yang luka-luka dapat segera pulih.",indonesia mengecam keras serangan bom sri lanka nama rakyat indonesia duka cita mendalam pemerintah sri lanka keluarga korban semoga korban luka luka pulih,NA,NA,23452,8630,662
Jokowi,Joko Widodo,jokowi,2019-04-21T05:12:00Z,"Suasana baru gerbong kereta MRT masih terasa: bersih, resik, dan nyaman. Dari Stasiun Bundaran HI, kemarin sore, saya naik MRT ke Lebak Bulus dan tiba pas waktu magrib. Di Stasiun Lebak Bulus ada musala dengan fasilitas lengkap. Saya pulang ke Bogor selepas magrib.",suasana gerbong kereta mrt bersih resik nyaman stasiun bundaran kemarin sore mrt lebak bulus pas magrib stasiun lebak bulus musala fasilitas lengkap pulang bogor selepas magrib,NA,NA,17336,2695,811
Jokowi,Joko Widodo,jokowi,2019-04-21T01:11:00Z,"Untuk perempuan-perempuan Indonesia, para ibu bangsa: mari terus menggelorakan semangat juang Ibu Kartini. Semangat juang untuk membangun keluarga, masyarakat, bangsa, dan memajukan generasi penerus.",perempuan perempuan indonesia bangsa mari menggelorakan semangat juang kartini semangat juang membangun keluarga masyarakat bangsa memajukan generasi penerus,NA,NA,24613,7774,426
Jokowi,Joko Widodo,jokowi,2019-04-20T11:49:00Z,"Datang ke Grand Indonesia di Jakarta untuk makan siang, para pengunjung mal begitu ramai mengajak bersalaman dan berfoto bersama. Masyarakat senang, saya senang, kita semua senang. Selamat berakhir pekan.",grand indonesia jakarta makan siang pengunjung mal ramai mengajak bersalaman berfoto masyarakat senang senang senang selamat pekan,NA,NA,26900,4507,1379
Jokowi,Joko Widodo,jokowi,2019-04-20T05:32:00Z,Puisi Irawan tentang bermain sepeda. Hadiahnya? Sepeda juga.,puisi irawan bermain sepeda hadiahnya sepeda,NA,NA,15690,2934,457
Jokowi,Joko Widodo,jokowi,2019-04-19T10:09:00Z,"Logistik Pemilu 2019 diantar ke kawasan Taman Nasional Baluran di pelosok Situbondo, Jawa Timur, sehari sebelum pemungutan suara. Tak semua TPS di Indonesia yang luas ini mudah dijangkau. Ada yang di gunung, pulau, daerah terpencil, dll. Terima kasih para petugas Pemilu 2019.",logistik pemilu twothousandnineteen diantar kawasan taman nasional baluran pelosok situbondo jawa timur sehari pemungutan suara tps indonesia luas mudah dijangkau gunung pulau daerah terpencil petugas pemilu,NA,NA,17429,3667,809
Jokowi,Joko Widodo,jokowi,2019-04-19T05:44:00Z,"Kita patut merasa bangga mengingat Pemilu 2019 ini begitu rumit: lebih dari 800.000 TPS, partisipasi pemilih hampir 81 persen dari 190 juta warga pemilik hak pilih. Alhamdulillah, lancar dan damai. Terima kasih kepada semua yang telah bekerja untuk suksesnya Pemilu 2019.",patut bangga pemilu twothousandnineteen rumit tps partisipasi pemilih eighty- persen onehundredninety juta warga pemilik hak pilih lancar damai suksesnya pemilu,NA,NA,26507,6268,2882
Jokowi,Joko Widodo,jokowi,2019-04-19T01:03:00Z,Kepada saudara-saudaraku umat Kristiani di seluruh tanah air ....,saudara saudaraku umat kristiani tanah air,NA,NA,33933,11484,1763
Jokowi,Joko Widodo,jokowi,2019-04-18T13:45:00Z,"PM Singapura Lee Hsien Loong, PM Malaysia Mahathir Mohamad, dan Presiden Turki Recep Tayyip Erdogan dan sejumlah kepala pemerintahan dan kepala negara sahabat telah menelpon saya. Mereka menyampaikan selamat kepada rakyat Indonesia atas Pemilu 2019 yang lancar dan damai.",pm singapura lee hsien loong pm malaysia mahathir mohamad presiden turki recep tayyip erdogan kepala pemerintah kepala negara sahabat menelpon selamat rakyat indonesia pemilu twothousandnineteen lancar damai,NA,NA,34069,8041,5893
Jokowi,Joko Widodo,jokowi,2019-04-18T09:44:00Z,"Dua hari berkunjung ke Arab Saudi, Ahad-Senin lalu, saya pulang membawa kabar baik: tambahan kuota untuk jamaah haji Indonesia sebanyak 10.000 orang. Kuota sekarang 221.000, menjadi 231.000 jemaah. Semoga penambahan kuota ini bisa kita manfaatkan sebaik-baiknya.",berkunjung arab saudi ahad senin pulang bawa kabar tambahan kuota jamaah haji indonesia orang kuota jemaah semoga penambahan kuota manfaat,NA,NA,21982,4469,1036
Jokowi,Joko Widodo,jokowi,2019-04-17T11:50:00Z,"Terima kasih kepada seluruh rakyat yang telah menggunakan hak suara dengan sebaik-baiknya dalam Pemilu 2019 hari ini. Apa pun hasilnya, kita tetap bersatu dan bersaudara. Semoga Allah SWT meridhai segenap ikhtiar kita untuk kemajuan bangsa Indonesia -- rumah kita bersama.",rakyat hak suara pemilu twothousandnineteen bersatu bersaudara semoga allah meridhai segenap ikhtiar kemajuan bangsa indonesia rumah,NA,NA,57977,19170,4122
Jokowi,Joko Widodo,jokowi,2019-04-17T06:05:00Z,Saya telah menggunakan hak pilih saya sebagai warga negara Indonesia. Bagaimana dengan Anda?,hak pilih warga negara indonesia,NA,NA,26902,4705,2989
